doc_id,label,text_preview
nq_synth_0,Internal,Context for document 0. Internal strategy and roadmap are mentioned. Document 0 discusses general information and internal process for workflow.
nq_synth_1,Internal,Context for document 1. Internal strategy and roadmap are mentioned. Document 1 discusses general information and internal process for workflow.
nq_synth_2,Internal,Context for document 2. Internal strategy and roadmap are mentioned. Document 2 discusses general information and internal process for workflow.
nq_synth_3,Internal,Context for document 3. Internal strategy and roadmap are mentioned. Document 3 discusses general information and internal process for workflow.
nq_synth_4,Internal,Context for document 4. Internal strategy and roadmap are mentioned. Document 4 discusses general information and internal process for workflow.
nq_synth_5,Internal,Context for document 5. Internal strategy and roadmap are mentioned. Document 5 discusses general information and internal process for workflow.
nq_synth_6,Internal,Context for document 6. Internal strategy and roadmap are mentioned. Document 6 discusses general information and internal process for workflow.
nq_synth_7,Internal,Context for document 7. Internal strategy and roadmap are mentioned. Document 7 discusses general information and internal process for workflow.
enron_synth_0,Restricted,Internal email document 0. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
enron_synth_1,Restricted,Internal email document 1. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
enron_synth_2,Restricted,Internal email document 2. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
enron_synth_3,Restricted,Internal email document 3. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
enron_synth_4,Restricted,Internal email document 4. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
enron_synth_5,Restricted,Internal email document 5. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
enron_synth_6,Restricted,Internal email document 6. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
enron_synth_7,Restricted,Internal email document 7. Strategy and roadmap for Q4. Budget and revenue figures are confidential. Contact support for SLA.
